x,y,u,v,p
15,0.116161428,7.61E-01,2.79E-03,0.253225744
15,0.106060416,7.75E-01,2.66E-03,0.253198683
15,0.095959403,7.87E-01,2.52E-03,0.253169954
15,0.08585839,7.99E-01,2.37E-03,0.253139675
15,0.075757377,8.10E-01,2.21E-03,0.253107995
15,0.065656364,8.20E-01,2.04E-03,0.253074914
15,0.055555355,8.29E-01,1.87E-03,0.253040612
15,0.045454346,8.36E-01,1.69E-03,0.253005236
15,0.035353337,8.42E-01,1.51E-03,0.252968848
15,0.025252327,8.47E-01,1.33E-03,0.252931803
15,0.015151317,8.51E-01,1.14E-03,0.252894133
15,0.005050307,8.53E-01,9.56E-04,0.252856135
15,-0.005050703,8.55E-01,7.71E-04,0.25281781
15,-0.015151713,8.54E-01,5.88E-04,0.252779514
15,-0.025252722,8.53E-01,4.08E-04,0.252741396
15,-0.035353731,8.50E-01,2.33E-04,0.252703637
15,-0.045454741,8.46E-01,6.23E-05,0.252666473
15,-0.05555575,8.41E-01,-1.02E-04,0.252629995
15,-0.065656759,8.34E-01,-2.59E-04,0.252594501
15,-0.075757772,8.26E-01,-4.08E-04,0.252560049
15,-0.085858785,8.17E-01,-5.49E-04,0.25252685
15,-0.095959798,8.07E-01,-6.80E-04,0.25249505
15,-0.10606081,7.95E-01,-8.01E-04,0.252464771
15,-0.116161823,7.83E-01,-9.12E-04,0.252436072
15,-0.126262829,7.70E-01,-1.01E-03,0.252409041
15,-0.136363834,7.55E-01,-1.10E-03,0.252383828
15,-0.14646484,7.40E-01,-1.18E-03,0.252360374
15,-0.156565845,7.24E-01,-1.24E-03,0.252338767
15,-0.16666685,7.06E-01,-1.29E-03,0.252318949
15,-0.176767856,6.89E-01,-1.33E-03,0.252300948
15,-0.186868861,6.70E-01,-1.36E-03,0.252284765
15,-0.196969867,6.51E-01,-1.37E-03,0.252270401
15,-0.207070872,6.32E-01,-1.38E-03,0.252257645
15,-0.217171878,6.11E-01,-1.37E-03,0.252246529
15,-0.227272883,5.91E-01,-1.35E-03,0.252236933
15,-0.237373888,5.70E-01,-1.32E-03,0.252228767
15,-0.247474894,5.49E-01,-1.29E-03,0.252222031
15,-0.257575899,5.27E-01,-1.24E-03,0.252216518
15,-0.26767692,5.05E-01,-1.18E-03,0.252212107
15,-0.27777794,4.83E-01,-1.12E-03,0.252208799
15,-0.28787896,4.61E-01,-1.05E-03,0.252206385
15,-0.297979981,4.39E-01,-9.82E-04,0.252204835
15,-0.308081001,4.17E-01,-9.05E-04,0.252203941
15,-0.318182021,3.95E-01,-8.26E-04,0.252203703
15,-0.328283042,3.72E-01,-7.45E-04,0.252204001
15,-0.338384062,3.50E-01,-6.64E-04,0.252204686
15,-0.348485082,3.28E-01,-5.84E-04,0.252205729
15,-0.358586103,3.06E-01,-5.06E-04,0.252207071
15,-0.368687123,2.84E-01,-4.31E-04,0.25220865
15,-0.378788143,2.62E-01,-3.60E-04,0.252210289
15,-0.388889164,2.40E-01,-2.94E-04,0.252211988
15,-0.398990184,2.18E-01,-2.35E-04,0.252213746
15,-0.409091204,1.96E-01,-1.81E-04,0.252215505
15,-0.419192225,1.74E-01,-1.35E-04,0.252217114
15,-0.429293245,1.52E-01,-9.61E-05,0.252218664
15,-0.439394265,1.30E-01,-6.44E-05,0.252220035
15,-0.449495286,1.09E-01,-3.99E-05,0.252221286
15,-0.459596306,8.70E-02,-2.22E-05,0.252222329
15,-0.469697326,6.53E-02,-1.05E-05,0.252223134
15,-0.479798347,4.36E-02,-3.77E-06,0.25222376
15,-0.489899367,2.18E-02,-8.11E-07,0.252224177
15,-0.500000358,0.00E+00,0.00E+00,0.252224743
